Washington,20140428,3.28
Cincinnati,20140428,3.34
SF Giants,20140428,3.35
Miami,20140428,3.53
Pittsburgh,20140428,3.65
NY Mets,20140428,3.67
Seattle,20140428,3.74
Chi Cubs,20140428,3.83
LA Angels,20140428,3.88
Boston,20140428,3.90
Texas,20140428,3.96
Detroit,20140428,3.97
Cleveland,20140428,4.09
Colorado,20140428,4.13
NY Yankees,20140428,4.18
Tampa Bay,20140428,4.21
Philadelphia,20140428,4.24
Toronto,20140428,4.45
Baltimore,20140428,4.49
Houston,20140428,4.82
Minnesota,20140428,5.00
Chi Sox,20140428,5.02
Arizona,20140428,5.17
Atlanta,20140429,2.04
Milwaukee,20140429,2.56
St. Louis,20140429,2.81
Oakland,20140429,2.84
Kansas City,20140429,3.09
LA Dodgers,20140429,3.12
San Diego,20140429,3.17
Washington,20140429,3.28
Cincinnati,20140429,3.34
SF Giants,20140429,3.41
Miami,20140429,3.53
Pittsburgh,20140429,3.65
NY Mets,20140429,3.67
Seattle,20140429,3.74
Chi Cubs,20140429,3.83
LA Angels,20140429,3.85
Boston,20140429,3.90
Texas,20140429,3.96
Detroit,20140429,3.97
Cleveland,20140429,4.14
Colorado,20140429,4.16
NY Yankees,20140429,4.18
Philadelphia,20140429,4.24
Tampa Bay,20140429,4.29
Toronto,20140429,4.45
Baltimore,20140429,4.49
Houston,20140429,4.82
Chi Sox,20140429,4.91
Minnesota,20140429,5.00
Arizona,20140429,5.27
Atlanta,20140430,2.32
Milwaukee,20140430,2.59
Oakland,20140430,2.85
St. Louis,20140430,2.87
LA Dodgers,20140430,3.12
Kansas City,20140430,3.25
San Diego,20140430,3.25
Washington,20140430,3.27
SF Giants,20140430,3.28
Cincinnati,20140430,3.29
Miami,20140430,3.39
NY Mets,20140430,3.57
Pittsburgh,20140430,3.65
Seattle,20140430,3.67
Chi Cubs,20140430,3.82
LA Angels,20140430,3.85
Boston,20140430,3.90
Detroit,20140430,3.92
Texas,20140430,4.15
Colorado,20140430,4.16
Cleveland,20140430,4.19
NY Yankees,20140430,4.25
Philadelphia,20140430,4.31
Tampa Bay,20140430,4.41
Baltimore,20140430,4.49
Toronto,20140430,4.65
Houston,20140430,4.79
Chi Sox,20140430,4.84
Minnesota,20140430,5.00
Arizona,20140430,5.26
Atlanta,20140501,2.59
Oakland,20140501,2.78
Milwaukee,20140501,2.82
St. Louis,20140501,2.87
LA Dodgers,20140501,3.11
Washington,20140501,3.16
Kansas City,20140501,3.20
SF Giants,20140501,3.24
San Diego,20140501,3.26
Miami,20140501,3.38
Cincinnati,20140501,3.43
NY Mets,20140501,3.57
Pittsburgh,20140501,3.65
Seattle,20140501,3.67
LA Angels,20140501,3.75
Detroit,20140501,3.79
Chi Cubs,20140501,3.82
Boston,20140501,3.90
Colorado,20140501,4.19
NY Yankees,20140501,4.25
Cleveland,20140501,4.28
Texas,20140501,4.28
Philadelphia,20140501,4.31
Tampa Bay,20140501,4.41
Baltimore,20140501,4.49
Toronto,20140501,4.64
Chi Sox,20140501,4.81
Houston,20140501,4.87
Minnesota,20140501,5.04
Arizona,20140501,5.20
Atlanta,20140502,2.69
Oakland,20140502,2.78
St. Louis,20140502,2.87
Milwaukee,20140502,3.00
LA Dodgers,20140502,3.04
Washington,20140502,3.16
SF Giants,20140502,3.24
San Diego,20140502,3.26
Kansas City,20140502,3.35
Miami,20140502,3.40
Cincinnati,20140502,3.41
Seattle,20140502,3.57
NY Mets,20140502,3.71
Pittsburgh,20140502,3.73
LA Angels,20140502,3.75
Detroit,20140502,3.79
Chi Cubs,20140502,3.82
Boston,20140502,3.87
Colorado,20140502,4.18
NY Yankees,20140502,4.20
Cleveland,20140502,4.28
Texas,20140502,4.28
Philadelphia,20140502,4.31
Tampa Bay,20140502,4.31
Baltimore,20140502,4.35
Toronto,20140502,4.55
Chi Sox,20140502,4.81
Houston,20140502,4.87
Minnesota,20140502,5.09
Arizona,20140502,5.20
Atlanta,20140503,2.66
Milwaukee,20140503,2.90
Oakland,20140503,2.94
St. Louis,20140503,2.99
Washington,20140503,3.05
LA Dodgers,20140503,3.14
SF Giants,20140503,3.16
San Diego,20140503,3.21
Cincinnati,20140503,3.36
Miami,20140503,3.38
Kansas City,20140503,3.48
Seattle,20140503,3.57
Detroit,20140503,3.72
Pittsburgh,20140503,3.77
Boston,20140503,3.78
LA Angels,20140503,3.79
Chi Cubs,20140503,3.83
NY Mets,20140503,3.91
Colorado,20140503,4.14
Baltimore,20140503,4.19
Texas,20140503,4.20
Cleveland,20140503,4.23
Tampa Bay,20140503,4.26
Philadelphia,20140503,4.30
NY Yankees,20140503,4.32
Toronto,20140503,4.61
Houston,20140503,4.73
Chi Sox,20140503,5.00
Minnesota,20140503,5.01
Arizona,20140503,5.03
Atlanta,20140504,2.67
St. Louis,20140504,3.00
Milwaukee,20140504,3.01
Oakland,20140504,3.05
SF Giants,20140504,3.09
Washington,20140504,3.19
San Diego,20140504,3.24
LA Dodgers,20140504,3.24
Cincinnati,20140504,3.32
Miami,20140504,3.55
Detroit,20140504,3.65
Kansas City,20140504,3.67
Seattle,20140504,3.69
Chi Cubs,20140504,3.69
Boston,20140504,3.72
LA Angels,20140504,3.77
Pittsburgh,20140504,3.81
Cleveland,20140504,4.08
NY Mets,20140504,4.15
Philadelphia,20140504,4.22
Baltimore,20140504,4.24
Texas,20140504,4.25
NY Yankees,20140504,4.28
Colorado,20140504,4.29
Tampa Bay,20140504,4.43
Toronto,20140504,4.74
Chi Sox,20140504,4.86
Minnesota,20140504,4.87
Houston,20140504,4.88
Arizona,20140504,4.97
Atlanta,20140505,2.72
SF Giants,20140505,2.99
Oakland,20140505,3.00
St. Louis,20140505,3.03
Milwaukee,20140505,3.03
Washington,20140505,3.13
San Diego,20140505,3.17
Cincinnati,20140505,3.29
LA Dodgers,20140505,3.30
Miami,20140505,3.53
Detroit,20140505,3.66
Boston,20140505,3.68
Chi Cubs,20140505,3.71
Seattle,20140505,3.81
Kansas City,20140505,3.85
Pittsburgh,20140505,3.91
LA Angels,20140505,3.94
NY Mets,20140505,4.05
Philadelphia,20140505,4.07
Cleveland,20140505,4.08
Texas,20140505,4.21
Baltimore,20140505,4.28
NY Yankees,20140505,4.30
Colorado,20140505,4.32
Tampa Bay,20140505,4.32
Toronto,20140505,4.65
Minnesota,20140505,4.78
Chi Sox,20140505,4.80
Houston,20140505,4.94
Arizona,20140505,4.95
Atlanta,20140506,2.69
St. Louis,20140506,3.03
Milwaukee,20140506,3.03
Oakland,20140506,3.03
Washington,20140506,3.03
SF Giants,20140506,3.16
San Diego,20140506,3.19
Cincinnati,20140506,3.29
LA Dodgers,20140506,3.33
Miami,20140506,3.51
Detroit,20140506,3.53
Chi Cubs,20140506,3.61
Boston,20140506,3.68
Seattle,20140506,3.75
LA Angels,20140506,3.84
Kansas City,20140506,3.89
Cleveland,20140506,3.97
NY Mets,20140506,4.03
Philadelphia,20140506,4.03
Pittsburgh,20140506,4.04
Colorado,20140506,4.25
Baltimore,20140506,4.28
NY Yankees,20140506,4.31
Tampa Bay,20140506,4.32
Texas,20140506,4.34
Toronto,20140506,4.50
Minnesota,20140506,4.60
Chi Sox,20140506,4.64
Houston,20140506,4.84
Arizona,20140506,5.06
Atlanta,20140507,2.64
St. Louis,20140507,3.01
Oakland,20140507,3.06
Washington,20140507,3.06
SF Giants,20140507,3.10
Milwaukee,20140507,3.14
San Diego,20140507,3.17
Cincinnati,20140507,3.29
LA Dodgers,20140507,3.32
Miami,20140507,3.41
Detroit,20140507,3.47
Boston,20140507,3.63
Chi Cubs,20140507,3.65
Seattle,20140507,3.72
Kansas City,20140507,3.77
LA Angels,20140507,3.85
Cleveland,20140507,3.88
Pittsburgh,20140507,3.92
NY Mets,20140507,4.01
Philadelphia,20140507,4.08
Colorado,20140507,4.15
NY Yankees,20140507,4.20
Baltimore,20140507,4.24
Tampa Bay,20140507,4.34
Toronto,20140507,4.50
Chi Sox,20140507,4.53
Minnesota,20140507,4.57
Texas,20140507,4.59
Arizona,20140507,4.94
Houston,20140507,5.04
Atlanta,20140508,2.77
St. Louis,20140508,2.95
Washington,20140508,3.03
Oakland,20140508,3.05
Milwaukee,20140508,3.11
SF Giants,20140508,3.14
San Diego,20140508,3.19
Miami,20140508,3.30
LA Dodgers,20140508,3.32
Cincinnati,20140508,3.32
Detroit,20140508,3.42
Boston,20140508,3.61
Seattle,20140508,3.65
Kansas City,20140508,3.66
Chi Cubs,20140508,3.80
Cleveland,20140508,3.85
LA Angels,20140508,3.88
Pittsburgh,20140508,3.90
NY Mets,20140508,3.93
Colorado,20140508,4.09
NY Yankees,20140508,4.14
Baltimore,20140508,4.20
Philadelphia,20140508,4.28
Tampa Bay,20140508,4.33
Toronto,20140508,4.37
Chi Sox,20140508,4.49
Minnesota,20140508,4.56
Texas,20140508,4.72
Arizona,20140508,4.84
Houston,20140508,5.00
Atlanta,20140509,2.77
St. Louis,20140509,2.95
Washington,20140509,3.03
Oakland,20140509,3.05
SF Giants,20140509,3.07
San Diego,20140509,3.11
Milwaukee,20140509,3.11
Miami,20140509,3.22
LA Dodgers,20140509,3.30
Cincinnati,20140509,3.32
Detroit,20140509,3.51
Seattle,20140509,3.54
Kansas City,20140509,3.59
Boston,20140509,3.61
Cleveland,20140509,3.79
Chi Cubs,20140509,3.81
LA Angels,20140509,3.88
Pittsburgh,20140509,3.90
NY Mets,20140509,3.93
Baltimore,20140509,4.10
Colorado,20140509,4.10
NY Yankees,20140509,4.14
Tampa Bay,20140509,4.29
Toronto,20140509,4.41
Philadelphia,20140509,4.44
Texas,20140509,4.59
Minnesota,20140509,4.67
Chi Sox,20140509,4.69
Arizona,20140509,4.84
Houston,20140509,4.91
Atlanta,20140510,2.74
Oakland,20140510,2.97
SF Giants,20140510,3.01
St. Louis,20140510,3.05
San Diego,20140510,3.05
Washington,20140510,3.13
Milwaukee,20140510,3.16
LA Dodgers,20140510,3.29
Cincinnati,20140510,3.32
Miami,20140510,3.39
Detroit,20140510,3.46
Kansas City,20140510,3.49
Seattle,20140510,3.55
Boston,20140510,3.74
Cleveland,20140510,3.77
Chi Cubs,20140510,3.78
LA Angels,20140510,3.86
NY Mets,20140510,3.87
Pittsburgh,20140510,3.90
Baltimore,20140510,4.06
NY Yankees,20140510,4.10
Colorado,20140510,4.11
Tampa Bay,20140510,4.34
Philadelphia,20140510,4.34
Toronto,20140510,4.40
Texas,20140510,4.46
Minnesota,20140510,4.57
Chi Sox,20140510,4.65
Houston,20140510,4.90
Arizona,20140510,4.96
Atlanta,20140511,2.66
Oakland,20140511,2.96
San Diego,20140511,3.05
St. Louis,20140511,3.08
SF Giants,20140511,3.10
Washington,20140511,3.15
Milwaukee,20140511,3.16
LA Dodgers,20140511,3.26
Detroit,20140511,3.45
Seattle,20140511,3.48
Kansas City,20140511,3.49
Cincinnati,20140511,3.54
Miami,20140511,3.55
Boston,20140511,3.72
Chi Cubs,20140511,3.74
LA Angels,20140511,3.80
Cleveland,20140511,3.87
Pittsburgh,20140511,3.88
NY Mets,20140511,3.90
Baltimore,20140511,4.05
NY Yankees,20140511,4.06
Colorado,20140511,4.06
Tampa Bay,20140511,4.25
Philadelphia,20140511,4.33
Toronto,20140511,4.39
Texas,20140511,4.55
Chi Sox,20140511,4.63
Minnesota,20140511,4.71
Houston,20140511,4.90
Arizona,20140511,4.91
Atlanta,20140512,2.64
Oakland,20140512,2.91
San Diego,20140512,3.08
SF Giants,20140512,3.12
St. Louis,20140512,3.13
Milwaukee,20140512,3.21
Washington,20140512,3.31
LA Dodgers,20140512,3.34
Detroit,20140512,3.43
Cincinnati,20140512,3.47
Seattle,20140512,3.58
Kansas City,20140512,3.58
Miami,20140512,3.60
Boston,20140512,3.68
LA Angels,20140512,3.78
Chi Cubs,20140512,3.79
Cleveland,20140512,3.85
Pittsburgh,20140512,3.85
NY Mets,20140512,3.88
Colorado,20140512,4.02
Baltimore,20140512,4.07
NY Yankees,20140512,4.12
Tampa Bay,20140512,4.29
Philadelphia,20140512,4.33
Toronto,20140512,4.49
Texas,20140512,4.57
Chi Sox,20140512,4.62
Minnesota,20140512,4.66
Arizona,20140512,4.81
Houston,20140512,4.82
Atlanta,20140513,2.66
Oakland,20140513,2.94
San Diego,20140513,3.08
SF Giants,20140513,3.09
Milwaukee,20140513,3.21
Washington,20140513,3.36
